Name	Team	GK	DF	MF	FW	Cost	GW1	GW2	GW3	GW4	GW5	Next_Opponent1	Next_Opponent2	Next_Opponent3	Next_Opponent4	Next_Opponent5	News	Selected
Salah	Liverpool	0	0	1	0	13.0	5.5	7.192330919215261	5.119855762642364	3.939555023092423	6.918946912674852	Crystal Palace	Brighton	Leicester	Spurs	Southampton		54.8
Kane	Spurs	0	0	0	1	12.5	5.4	3.110172924727083	4.430363875016731	3.7757080314141835	4.604246368363117	Fulham	Man Utd	Watford	Liverpool	Brighton		30.7
Sterling	Man City	0	0	1	0	11.0	5.3	3.8237191241009905	4.546189267041628	4.918718001206981	4.454525211230217	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		3.4
Agüero	Man City	0	0	0	1	11.0	4.900000000000001	3.5351365486971424	4.2030806431139585	4.54749400111589	4.118334629250579	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		32.8
Sané	Man City	0	0	1	0	9.5	4.8	3.4629909048461798	4.11730348713204	4.454688001093115	4.034286983755669	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		12.0
Eriksen	Spurs	0	0	1	0	9.5	4.800000000000001	2.7645981553129624	3.9381012222370946	3.3561849168126074	4.092663438544992	Fulham	Man Utd	Watford	Liverpool	Brighton		17.0
Mahrez	Man City	0	0	1	0	9.0	4.7	3.390845260995218	4.031526331150123	4.3618820010703425	3.950239338260759	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		5.3
Walker	Man City	0	1	0	0	6.5	4.7	3.390845260995218	4.031526331150123	4.3618820010703425	3.950239338260759	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		12.8
Alli	Spurs	0	0	1	0	9.0	4.699999999999999	2.707002360410609	3.856057446773822	3.2862643977123445	4.007399616908638	Fulham	Man Utd	Watford	Liverpool	Brighton		6.9
Ederson	Man City	1	0	0	0	5.5	4.5	3.246553973293294	3.8599720191862876	4.176270001024796	3.7821440472709393	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		18.9
De Gea	Man Utd	1	0	0	0	6.0	4.499999999999999	3.5030643408658726	3.9507805970538916	4.330054441605192	4.8911482174666245	Brighton	Spurs	Burnley	Watford	Wolves		29.8
Lloris	Spurs	1	0	0	0	5.5	4.5	2.591810770605903	3.691969895847276	3.14642335951182	3.8368719736359305	Fulham	Man Utd	Watford	Liverpool	Brighton		8.3
Mané	Liverpool	0	0	1	0	9.6	4.3999999999999995	5.7538647353722085	4.095884610113891	3.1516440184739385	5.535157530139882	Crystal Palace	Brighton	Leicester	Spurs	Southampton		26.5
Mendy	Man City	0	1	0	0	6.1	4.4	3.1744083294423318	3.7741948632043703	4.083464001002023	3.69809640177603	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		17.0
Lukaku	Man Utd	0	0	0	1	11.0	4.4	3.42521846662441	3.862985472674917	4.233831009569522	4.782456034856257	Brighton	Spurs	Burnley	Watford	Wolves		8.2
Vertonghen	Spurs	0	1	0	0	6.0	4.4	2.534214975703549	3.6099261203840034	3.076502840411557	3.7516081519995765	Fulham	Man Utd	Watford	Liverpool	Brighton		11.5
Davies	Spurs	0	1	0	0	6.0	4.4	2.534214975703549	3.6099261203840034	3.076502840411557	3.7516081519995765	Fulham	Man Utd	Watford	Liverpool	Brighton		8.2
Bernardo Silva	Man City	0	0	1	0	7.6	4.2	3.0301170417404077	3.6026405512405355	3.897852000956476	3.53000111078621	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		10.9
Stones	Man City	0	1	0	0	5.5	4.1	2.957971397889445	3.5168633952586177	3.8050460009337024	3.4459534652912995	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		11.1
Firmino	Liverpool	0	0	0	1	9.5	4.0	5.230786123065645	3.7235314637399006	2.8651309258853983	5.031961391036257	Crystal Palace	Brighton	Leicester	Spurs	Southampton		36.0
Alisson	Liverpool	1	0	0	0	5.5	4.0	5.230786123065645	3.7235314637399006	2.8651309258853983	5.031961391036257	Crystal Palace	Brighton	Leicester	Spurs	Southampton		14.4
van Dijk	Liverpool	0	1	0	0	6.0	3.9	5.100016469989004	3.630443177146404	2.793502652738264	4.906162356260349	Crystal Palace	Brighton	Leicester	Spurs	Southampton		18.3
Robertson	Liverpool	0	1	0	0	6.0	3.9	5.100016469989004	3.630443177146404	2.793502652738264	4.906162356260349	Crystal Palace	Brighton	Leicester	Spurs	Southampton		16.9
Pogba	Man Utd	0	0	1	0	8.1	3.9	3.0359890954170905	3.42400985078004	3.752713849391167	4.238995121804409	Brighton	Spurs	Burnley	Watford	Wolves		15.7
Hazard	Chelsea	0	0	1	0	10.5	3.6999999999999997	3.7153472629211675	4.5372696776593635	5.173821152038941	3.8085911174863076	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		11.7
Keita	Liverpool	0	0	1	0	7.5	3.7	4.838477163835722	3.444266603959409	2.6502461064439937	4.6545642867085375	Crystal Palace	Brighton	Leicester	Spurs	Southampton		5.4
Shaqiri	Liverpool	0	0	1	0	7.4	3.6000000000000005	4.707707510759081	3.3511783173659113	2.578617833296859	4.528765251932631	Crystal Palace	Brighton	Leicester	Spurs	Southampton		5.8
Bailly	Man Utd	0	1	0	0	5.5	3.6	2.802451472692699	3.1606244776431143	3.4640435532841547	3.912918573973301	Brighton	Spurs	Burnley	Watford	Wolves		4.1
Fernandinho	Man City	0	0	1	0	5.5	3.5000000000000004	2.5250975347836726	3.0022004593671126	3.248210000797063	2.9416675923218416	Huddersfield	Wolves	Newcastle	Fulham	Cardiff		6.5
Aubameyang	Arsenal	0	0	0	1	11.0	3.4	5.223387809685804	4.992766345506106	4.2742339327908	5.21098773773686	Chelsea	West Ham	Cardiff	Newcastle	Everton		18.2
Vardy	Leicester	0	0	0	1	9.0	3.3	2.9206933875769585	2.489748501337251	2.8280267518349893	3.8368496461308093	Wolves	Southampton	Liverpool	Bournemouth	Huddersfield		8.3
Shaw	Man Utd	0	1	0	0	5.1	3.3	2.5689138499683066	2.8972391045061876	3.1753732571771414	3.586842026142192	Brighton	Spurs	Burnley	Watford	Wolves		9.8
