Name	Team	GK	DF	MF	FW	Cost	GW1	GW2	GW3	GW4	GW5
Kane	Spurs	0	0	0	1	12.5	6.8	8.1	5.7	6.7	7.0
Salah	Liverpool	0	0	1	0	13.0	11.3	9.9	11.2	9.9	8.5
Hazard	Chelsea	0	0	1	0	10.5	5.0	5.3	4.4	5.7	6.5
Agüero	Man City	0	0	0	1	11.0	0	0	0	0	0
Lukaku	Man Utd	0	0	0	1	11.0	5.4	4.7	4.7	4.3	4.4
Jesus	Man City	0	0	0	1	10.5	2.7	3.8	4.1	3.7	4.7
Firmino	Liverpool	0	0	0	1	9.5	6.2	5.2	6.4	5.4	4.6
Sterling	Man City	0	0	1	0	11.0	6.7	8.5	7.5	7.8	8.6
De Gea	Man Utd	1	0	0	0	6.0	5.2	5.6	5.8	4.6	5.5
Azpilicueta	Chelsea	0	1	0	0	6.5	4.7	5.5	4.6	5.4	6.5
Alonso	Chelsea	0	1	0	0	6.5	4.3	5.0	4.2	4.9	6.2
Mané	Liverpool	0	0	1	0	9.5	0	0	0	0	0
Eriksen	Spurs	0	0	1	0	9.5	5.4	7.4	4.6	6.4	5.3
Courtois	Chelsea	1	0	0	0	5.5	3.2	3.8	3.1	3.7	5.1
Morata	Chelsea	0	0	0	1	9.0	3.0	3.2	2.9	3.8	4.6
Alisson	Liverpool	1	0	0	0	5.5	0.0	0.0	0.0	0.0	0.0
Sánchez	Man Utd	0	0	1	0	10.5	0	0	0	0	0
Lloris	Spurs	1	0	0	0	5.5	3.4	5.4	3.6	4.3	4.3
De Bruyne	Man City	0	0	1	0	10.0	5.9	7.5	6.8	6.9	7.8
Alli	Spurs	0	0	1	0	9.0	4.5	6.5	3.7	5.3	4.4
Moses	Chelsea	0	1	0	0	6.0	3.0	3.6	2.9	3.5	4.9
Rüdiger	Chelsea	0	1	0	0	6.0	0	0	0	0	0
van Dijk	Liverpool	0	1	0	0	6.0	1.7	1.5	2.2	1.2	1.4
Robertson	Liverpool	0	1	0	0	6.0	2.9	2.6	3.6	2.1	2.5
Alderweireld	Spurs	0	1	0	0	6.0	0.1	0.1	0.0	0.0	0.0
Rose	Spurs	0	1	0	0	6.0	0.1	0.0	0.0	0.0	0.0
Vertonghen	Spurs	0	1	0	0	6.0	3.2	5.2	3.3	4.0	4.0
Davies	Spurs	0	1	0	0	6.0	3.4	5.3	3.5	4.3	4.3
Trippier	Spurs	0	1	0	0	6.0	2.3	4.2	2.4	3.0	3.0
Sánchez	Spurs	0	1	0	0	6.0	0	0	0	0	0
Otamendi	Man City	0	1	0	0	6.5	3.8	4.8	5.1	4.7	5.8
Walker	Man City	0	1	0	0	6.5	3.1	4.0	4.5	3.9	5.2
Sané	Man City	0	0	1	0	9.5	0	0	0	0	0
Son	Spurs	0	0	1	0	8.5	4.6	6.6	3.8	5.5	4.5
Aubameyang	Arsenal	0	0	0	1	11.0	0.2	0.0	0.0	0.0	0.0
Ederson	Man City	1	0	0	0	5.5	3.9	4.8	5.2	4.8	5.9
Giroud	Chelsea	0	0	0	1	8.0	1.4	1.6	1.4	2.0	2.9
Mahrez	Man City	0	0	1	0	9.0	5.3	6.9	6.4	6.3	7.3
Willian	Chelsea	0	0	1	0	7.5	0.3	0.1	0.0	0.0	0.0
Keita	Liverpool	0	0	1	0	7.5	0.0	0.0	0.0	0.0	0.0
Shaqiri	Liverpool	0	0	1	0	7.5	4.8	4.5	4.5	4.5	3.0
Mendy	Man City	0	1	0	0	6.0	0.1	0.0	0.0	0.0	0.0
Smalling	Man Utd	0	1	0	0	6.0	3.2	3.5	3.6	2.8	3.4
Young	Man Utd	0	1	0	0	6.0	2.2	2.5	2.6	1.9	2.4
David Silva	Man City	0	0	1	0	8.5	0.4	0.1	0.0	0.0	0.0
Lallana	Liverpool	0	0	1	0	7.0	0.0	0.0	0.0	0.0	0.0
Pogba	Man Utd	0	0	1	0	8.0	4.5	3.0	3.2	3.4	3.8
Pope	Burnley	1	0	0	0	5.0	4.4	5.4	5.0	4.7	5.0
Pickford	Everton	1	0	0	0	5.0	4.7	4.8	3.3	4.3	4.3
Lacazette	Arsenal	0	0	0	1	9.5	3.7	2.6	4.2	4.5	3.5
van Aanholt	Crystal Palace	0	1	0	0	5.5	3.1	2.3	2.3	2.6	1.8
Baines	Everton	0	1	0	0	5.5	2.7	2.1	1.3	1.8	1.8
Coleman	Everton	0	1	0	0	5.5	0.3	0.0	0.0	0.0	0.0
Sigurdsson	Everton	0	0	1	0	7.5	3.1	2.6	1.9	2.5	2.4
Lovren	Liverpool	0	1	0	0	5.0	2.9	2.6	3.5	2.1	2.5
Alexander-Arnold	Liverpool	0	1	0	0	5.0	0.2	0.0	0.0	0.0	0.0
Stones	Man City	0	1	0	0	5.5	0.2	0.0	0.0	0.0	0.0
Jones	Man Utd	0	1	0	0	5.5	2.9	3.2	3.3	2.5	3.1
Bailly	Man Utd	0	1	0	0	5.5	0.1	0.0	0.0	0.0	0.0
Martial	Man Utd	0	0	1	0	7.5	0.3	0.1	0.0	0.0	0.0
Fabinho	Liverpool	0	0	1	0	6.0	0.0	0.0	0.0	0.0	0.0
Valencia	Man Utd	0	1	0	0	6.5	0.0	4.5	4.6	3.6	4.4
Vardy	Leicester	0	0	0	1	9.0	4.4	6.8	5.5	5.5	5.7
Lingard	Man Utd	0	0	1	0	7.0	0.3	0.1	0.0	0.0	0.0
Zaha	Crystal Palace	0	0	0	1	7.0	4.4	3.6	3.4	4.3	3.5
Tosun	Everton	0	0	0	1	7.0	0.4	0.0	0.0	0.0	0.0
Rashford	Man Utd	0	0	0	1	7.0	2.9	2.4	2.4	2.2	2.2
Loftus-Cheek	Chelsea	0	0	1	0	5.5	0.2	0.0	0.0	0.0	0.0
Milivojevic	Crystal Palace	0	0	1	0	6.5	4.7	3.2	4.0	4.6	3.8
Walcott	Everton	0	0	1	0	6.5	0.4	0.0	0.0	0.0	0.0
Richarlison	Everton	0	0	1	0	6.5	4.1	3.8	2.9	3.7	3.5
Aké	Bournemouth	0	1	0	0	5.0	0	0	0	0	0
Mee	Burnley	0	1	0	0	5.0	2.0	2.6	2.9	2.1	2.9
Ward	Burnley	0	1	0	0	5.0	2.4	3.1	3.3	2.6	3.3
Tarkowski	Burnley	0	1	0	0	5.0	2.4	3.1	3.3	2.6	3.3
Keane	Everton	0	1	0	0	5.0	2.6	2.1	1.3	1.8	1.8
Shaw	Man Utd	0	1	0	0	5.0	0.1	0.0	0.0	0.0	0.0
Özil	Arsenal	0	0	1	0	8.5	0	0	0	0	0
King	Bournemouth	0	0	0	1	6.5	4.1	2.5	3.0	1.8	3.2
Gudmundsson	Burnley	0	0	1	0	6.0	2.8	3.6	3.8	2.5	3.8
Kanté	Chelsea	0	0	1	0	5.0	0	0	0	0	0
Jorginho	Chelsea	0	0	1	0	5.0	0.0	0.0	0.0	0.0	0.0
Townsend	Crystal Palace	0	0	1	0	6.0	4.0	2.4	3.1	3.6	2.9
Fred	Man Utd	0	0	1	0	6.0	0.0	0.0	0.0	0.0	0.0
Begovic	Bournemouth	1	0	0	0	4.5	4.2	2.4	3.2	2.8	2.8
Groß	Brighton	0	0	1	0	7.0	0	0	0	0	0
Wilson	Bournemouth	0	0	0	1	6.0	3.8	2.2	2.7	1.6	2.8
Leno	Arsenal	1	0	0	0	5.0	0.0	0.0	0.0	0.0	0.0
Daniels	Bournemouth	0	1	0	0	4.5	3.5	1.8	2.4	2.2	2.1
Tomkins	Crystal Palace	0	1	0	0	4.5	3.2	2.5	2.5	2.8	1.9
Schmeichel	Leicester	1	0	0	0	5.0	2.8	4.6	3.2	3.4	2.6
Fernandinho	Man City	0	0	1	0	5.5	2.5	3.5	3.9	3.1	4.5
Bellerín	Arsenal	0	1	0	0	5.5	0	0	0	0	0
Monreal	Arsenal	0	1	0	0	5.5	3.5	3.5	3.7	4.2	2.9
Sokratis	Arsenal	0	1	0	0	5.5	0.0	0.0	0.0	0.0	0.0
Ramsey	Arsenal	0	0	1	0	7.5	2.2	2.5	3.7	4.2	2.8
Calvert-Lewin	Everton	0	0	0	1	5.5	2.9	2.3	1.9	2.2	2.2
Maguire	Leicester	0	1	0	0	5.5	2.6	4.4	3.0	3.2	2.4
McArthur	Crystal Palace	0	0	1	0	5.0	3.3	1.8	2.4	2.8	2.2
Matic	Man Utd	0	0	1	0	5.0	2.5	1.5	1.6	1.7	2.0
Doucouré	Watford	0	0	1	0	6.0	0	0	0	0	0
Mkhitaryan	Arsenal	0	0	1	0	7.0	0.3	0.1	0.0	0.0	0.0
Ryan	Brighton	1	0	0	0	4.5	4.4	4.4	3.6	5.5	4.1
Wood	Burnley	0	0	0	1	6.5	0.0	2.8	3.4	2.3	3.4
Foster	Watford	1	0	0	0	4.5	4.1	2.8	3.7	3.6	3.4
Boruc	Bournemouth	1	0	0	0	4.0	0.0	0.0	0.0	0.0	0.0
Simpson	Bournemouth	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0
Dunk	Brighton	0	1	0	0	4.5	2.4	2.4	1.9	3.6	2.2
Speroni	Crystal Palace	1	0	0	0	4.0	0.2	0.0	0.0	0.0	0.0
Kelly	Crystal Palace	0	1	0	0	4.0	0.2	0.0	0.0	0.0	0.0
Wan-Bissaka	Crystal Palace	0	1	0	0	4.0	0.1	0.0	0.0	0.0	0.0
Sessegnon	Fulham	0	0	1	0	6.5	0.0	0.0	0.0	0.0	0.0
Deulofeu	Watford	0	0	1	0	5.5	0.1	0.0	0.0	0.0	0.0
Jota	Wolves	0	0	1	0	6.5	0.0	0.0	0.0	0.0	0.0
Kolasinac	Arsenal	0	1	0	0	5.0	0.3	0.1	0.0	0.0	0.0
Lichtsteiner	Arsenal	0	1	0	0	5.0	0.0	0.0	0.0	0.0	0.0
Wells	Burnley	0	0	0	1	4.5	0.0	0.0	0.0	0.0	0.0
Bertrand	Southampton	0	1	0	0	5.0	2.6	2.3	2.4	2.3	3.2
Cresswell	West Ham	0	1	0	0	5.5	2.6	3.0	2.5	4.4	2.8
Douglas	Wolves	0	1	0	0	5.0	0.0	0.0	0.0	0.0	0.0
Antonio	West Ham	0	0	1	0	7.0	0.2	0.0	0.0	0.0	0.0
Yarmolenko	West Ham	0	0	1	0	7.0	0.0	0.0	0.0	0.0	0.0
Felipe Anderson	West Ham	0	0	1	0	7.0	0.0	0.0	0.0	0.0	0.0
Patrício	Wolves	1	0	0	0	4.5	0	0	0	0	0
Stephens	Brighton	0	0	1	0	4.5	1.9	1.5	1.1	3.2	1.8
Austin	Southampton	0	0	0	1	6.0	0.2	0.0	0.0	0.0	0.0
Arnautovic	West Ham	0	0	0	1	7.0	3.1	4.8	3.3	5.4	3.7
Xhaka	Arsenal	0	0	1	0	5.5	1.6	1.8	2.9	3.6	2.1
Suttner	Brighton	0	1	0	0	4.0	0.1	0.0	0.0	0.0	0.0
Schelotto	Brighton	0	1	0	0	4.0	0.1	0.0	0.0	0.0	0.0
Button	Brighton	1	0	0	0	4.0	0.0	0.0	0.0	0.0	0.0
Seri	Fulham	0	0	1	0	5.5	0.0	0.0	0.0	0.0	0.0
Cédric	Southampton	0	1	0	0	4.5	0	0	0	0	0
Boly	Wolves	0	1	0	0	4.5	0.0	0.0	0.0	0.0	0.0
Lascelles	Newcastle	0	1	0	0	5.0	3.3	3.8	3.6	2.4	3.0
Jiménez	Wolves	0	0	0	1	5.5	0	0	0	0	0
Cairney	Fulham	0	0	1	0	5.0	0.0	0.0	0.0	0.0	0.0
Pérez	Newcastle	0	0	0	1	6.5	0	0	0	0	0
Chicharito	West Ham	0	0	0	1	6.5	1.5	2.6	1.6	3.5	1.9
Neves	Wolves	0	0	1	0	5.0	0.0	0.0	0.0	0.0	0.0
Lössl	Huddersfield	1	0	0	0	4.5	0	0	0	0	0
Fabianski	West Ham	1	0	0	0	4.5	4.0	4.6	3.8	5.9	4.3
Elneny	Arsenal	0	0	1	0	4.5	0.1	0.0	0.0	0.0	0.0
Oriol Romeu	Southampton	0	0	1	0	4.5	1.4	1.0	1.6	1.3	1.2
Peltier	Cardiff	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0
Schindler	Huddersfield	0	1	0	0	4.5	3.0	1.9	3.8	2.2	2.8
Zanka	Huddersfield	0	1	0	0	4.5	3.2	2.1	4.0	2.4	3.0
Mooy	Huddersfield	0	0	1	0	5.5	2.5	1.5	4.2	2.3	3.4
Bednarek	Southampton	0	1	0	0	4.0	0.1	0.0	0.0	0.0	0.0
Zabaleta	West Ham	0	1	0	0	4.5	1.7	2.0	1.6	3.4	1.8
Norris	Wolves	1	0	0	0	4.0	0.0	0.0	0.0	0.0	0.0
Bennett	Wolves	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0
Kamara	Fulham	0	0	0	1	4.5	0.0	0.0	0.0	0.0	0.0
Kenedy	Newcastle	0	0	1	0	5.0	0.1	0.1	0.0	0.0	0.0
Wilshere	West Ham	0	0	1	0	5.0	0.1	0.0	0.0	0.0	0.0
Joselu	Newcastle	0	0	0	1	5.0	0.2	0.1	0.0	0.0	0.0
Masuaku	West Ham	0	0	1	0	4.5	0.9	1.4	1.0	2.5	1.0
Hamer	Huddersfield	1	0	0	0	4.0	0.0	0.0	0.0	0.0	0.0
Malone	Huddersfield	0	1	0	0	4.0	0.1	0.0	0.0	0.0	0.0
Quaner	Huddersfield	0	0	0	1	4.5	0.1	0.0	0.0	0.0	0.0
Mbemba	Newcastle	0	1	0	0	4.0	0.0	0.0	0.0	0.0	0.0
